i,progress,numcount,bftime,mytime
226417563142,0,226417,,92.31362499995157
294342832085,0,294342,,103.30895800003782
382645681711,0,382645,,124.4043749999255
497439386225,0.01,497438,,137.55779200000688
646671202093,0.01,646670,,217.86191600002348
840672562721,0.01,840671,,224.08370900014415
1092874331538,0.01,999999,,299.4579590000212
1420736631000,0.02,999999,,261.7229590001516
1846957620300,0.02,999999,,287.1304170000367
2401044906390,0.03,999999,,270.4670410002582
3121358378307,0.03,999999,,272.39204200031236
4057765891800,0.05,999999,,304.8637500000186
5275095659340,0.06,999999,,279.0992499999702
6857624357142,0.08,999999,,252.5954999998212
8914911664285,0.1,999999,,274.23495800001547
11589385163571,0.13,1158938,,1237.0610419996083
15066200712643,0.17,1506619,,1347.4263749998063
19586060926436,0.22,1958605,,1544.3509999997914
25461879204367,0.28,2546187,,1787.352042000275
33100442965678,0.37,3310043,,2125.27820800012
43030575855382,0.48,4303057,,2757.4710829998367
55939748611997,0.62,5593974,,3236.9310000003316
72721673195597,0.81,7272166,,4106.309541999828
94538175154277,1.05,9453816,,5563.617000000086
122899627700561,1.36,9999999,,5698.400415999815
159769516010730,1.77,9999999,,5820.9862500000745
207700370813949,2.31,9999999,,5882.5879589999095
270010482058134,3,9999999,,5701.670750000048
351013626675575,3.9,9999999,,5952.44391599996
456317714678248,5.07,9999999,,5574.608041000087
593213029081723,6.59,9999999,,5675.683041000273
771176937806240,8.56,9999999,,5792.475166999735
1002530019148112,11.13,10025300,,16534.131709000096
1303289024892546,14.47,13032890,,18113.74870799994
