i,node_hybrid,bun_hybrid,noset,fast,naive,pt2,fast_intset
1191360139,6.4806670000000395,8.468582999999995,10.035957999999994,7.143167000001995,21722.232417000007,11.186459000000012,6.893666999999937
1548768181,6.254458,7.088875000000002,22.22241600000001,6.437000000005355,31255.435333,11.622833000000014,6.328833999999915
2013398636,14.500084000000015,7.266041999999999,38.656875000000014,6.731958000018494,43703.38808399999,12.26075000000003,6.655292000000031
2617418227,19.337750000000028,6.88670900000001,29.56945900000005,7.344167000002926,70668.556458,12.83604200000002,6.953209000000015
3402643696,8.370750000000044,7.784875,42.981583,8.981249999953434,115187.82279200002,16.555124999999975,7.727041999999983
4423436805,7.652042000000051,7.224541999999985,54.175416999999925,7.647041999967769,166551.388708,15.314542000000074,8.147458999999913
5750467847,8.197000000000003,7.658958999999982,66.79233299999999,8.31029200006742,232672.57437499997,16.828082999999992,8.871250000000032
7475608202,9.784582999999998,10.901792,78.82633299999998,9.9343340001069,318646.742083,19.935791999999992,10.325458000000026
9718290663,11.08045800000002,9.353874999999988,87.45074999999997,11.163042000029236,431284.496208,22.372165999999993,11.42025000000001
12633777862,11.297500000000014,10.506667000000022,88.69312500000001,11.366959000006318,551843.2961250001,23.019957999999978,12.407708999999954
16423911221,11.223499999999945,13.626958000000002,87.8459170000001,21.82012500008568,,25.86920799999996,13.313792000000037
21351084588,11.237040999999977,10.651790999999974,87.78104100000019,11.117041999939827,,23.011083999999983,11.823125000000005
27756409965,11.19070899999997,13.429708000000003,87.92283399999997,10.927875000052154,,22.901624999999967,11.696374999999987
36083332955,16.205583000000047,10.563542000000012,87.85254199999986,11.032875000033528,,22.92420900000002,11.564250000000015
46908332842,11.19541700000002,15.056583000000018,87.88816599999996,11.178208000026643,,22.96637499999997,11.571250000000076
60980832695,11.175749999999994,11.362292000000023,87.98108399999978,11.221917000133544,,23.196916999999985,11.532500000000027
79275082504,11.193416999999954,13.385832999999993,89.02175000000011,11.15245799999684,,30.230583000000024,11.547165999999947
103057607256,78.13512500000002,85.17570899999998,180.28320900000017,75.44479200011119,,131.74204099999997,71.266708
133974889433,88.10187500000006,103.42299999999994,662.4230419999999,83.63333299988881,,152.931875,86.12195800000006
174167356263,87.58670800000004,97.585334,1243.184291,103.0335409999825,,164.977083,89.19508399999995
226417563142,104.12700000000008,125.86312499999995,1957.1857079999995,92.31362499995156,,174.68687499999987,100.43958399999995
294342832085,105.20604100000014,115.36629199999992,2816.3067499999997,103.30895800003782,,215.703041,105.06600000000005
382645681711,114.66550000000008,137.353834,3827.830958000001,124.4043749999255,,238.61866600000008,111.03325000000018
497439386225,144.50129200000015,157.70608300000004,4947.881874999999,137.55779200000688,,278.5647079999999,134.84175000000005
646671202093,191.33004200000005,165.13300000000004,6088.445458999999,217.86191600002348,,390.6467499999999,161.75958300000002
840672562721,223.323625,255.546959,6959.897707999997,224.08370900014415,,486.072541,204.01175000000012
1092874331538,264.3437919999999,275.2821250000002,7187.042332999998,299.4579590000212,,623.9803340000003,282.9509579999997
1420736631000,283.63737500000025,255.76212499999997,7213.266750000003,261.7229590001516,,570.9063749999996,264.1147500000002
1846957620300,284.61645799999997,262.1321250000001,7230.453708000001,287.1304170000367,,616.243125,261.6267499999999
2401044906390,291.4253329999997,287.4612910000001,7210.899833000003,270.4670410002582,,600.5010830000001,273.043541
3121358378307,249.0924170000003,287.2616250000001,7204.590666999997,272.39204200031236,,593.1042499999994,294.0993330000001
4057765891800,286.6035829999996,256.24604199999976,7223.616500000004,304.8637500000186,,593.8472499999998,249.53470800000017
5275095659340,267.4678750000003,271.95670800000016,7159.151166999989,279.0992499999702,,655.9523749999998,256.7712499999998
6857624357142,277.20104200000014,277.465459,7224.283540999997,252.5954999998212,,584.8696659999996,262.08858299999974
8914911664285,263.02658299999985,265.312625,7196.5608340000035,274.23495800001547,,582.8699580000011,253.74358299999992
11589385163571,1251.4018750000005,1169.4590829999995,32101.694749999995,1237.0610419996085,,2088.712166000001,1186.0895
15066200712643,1361.206416,1266.300792,84447.90887500001,1347.4263749998065,,2294.7233750000014,1324.2956670000003
19586060926436,1575.1609170000002,1408.4411250000005,156647.59695900002,1544.3509999997914,,2649.3625420000008,1475.0307920000005
25461879204367,1761.6984159999993,1536.041041999999,247185.25366600003,1787.352042000275,,3160.165709000001,1801.4328749999986
33100442965678,2081.671792000001,1837.634333,331929.194333,2125.27820800012,,3874.832167000001,2156.247792
43030575855382,2672.226208,2084.335459,440705.8469999999,2757.4710829998367,,5196.137875,2554.329416999999
55939748611997,3264.319374999999,2484.311958,,3236.9310000003316,,6084.3400839999995,3219.740166999998
72721673195597,3988.0880829999983,3220.9229159999995,,4106.309541999828,,7577.976417000005,4178.168415999997
94538175154277,5551.679708,4143.663208000002,,5563.617000000086,,10664.597125,5315.9908749999995
122899627700561,5573.776542,4115.688457999997,,5698.400415999815,,10509.032167000005,5578.3451250000035
159769516010730,6044.919499999996,4572.134084000001,,5820.9862500000745,,10902.619,5316.712375000003
207700370813949,5650.785875000001,4726.875625000004,,5882.5879589999095,,10574.15225,5314.4647500000065
270010482058134,5746.663334000004,4565.405792000005,,5701.670750000048,,10711.302165999994,5218.526874999996
351013626675575,5914.085583,4457.015083999999,,5952.44391599996,,10435.631582999997,5276.4306670000005
456317714678248,5588.338374999999,4808.034,,5574.608041000087,,11075.78245900001,5180.604332999996
593213029081723,5773.661207999998,5177.475874999996,,5675.683041000273,,10442.999832999994,5241.5585830000055
771176937806240,5623.5815830000065,4798.5848750000005,,5792.475166999735,,10787.438292000006,5231.153291000002
1002530019148112,16557.700457999992,82986.698917,,16534.131709000096,,27818.161500000017,15911.554583000005
1303289024892546,18116.186333000005,129923.20137500003,,18113.74870799994,,30691.36712499999,17057.754417000004
1694275732360310,21262.873083000013,217539.716334,,,,37064.05841700002,20402.889083999995
2202558452068403,24216.216291999997,377440.8485,,,,42902.26491699999,23185.839082999984
2863325987688924,28900.125833,530517.8439170001,,,,50644.60933299997,27662.06849999999
3722323783995602,35748.4265,614781.151792,,,,64554.14204200002,33659.502959000005
4839020919194283,43326.991125,,,,,80040.30754099996,40703.70525
6290727194952568,59374.584875,,,,,102954.63054099992,52799.385708999995
8177945353438339,79814.87058400002,,,,,131862.20354100002,68186.71212500002
9007199254740990,74994.043542,,,,,,
9007199254740991,,,,,,167514.48962499993,
